time	V(n002)	V(n004)
9.331491632999730e-001	4.960952e+000	2.116159e-002
9.331495255939545e-001	4.958852e+000	2.252402e-002
9.331496161674499e-001	4.958089e+000	2.302877e-002
9.331497973144406e-001	4.955897e+000	2.451112e-002
9.331499944293090e-001	4.952720e+000	2.669987e-002
9.331500375179164e-001	4.951732e+000	2.739939e-002
9.331501236951312e-001	4.948903e+000	2.946520e-002
9.331502421126084e-001	4.943101e+000	3.388509e-002
9.331503397857459e-001	4.935336e+000	4.012439e-002
9.331504004450383e-001	4.927383e+000	4.689172e-002
9.331504446828317e-001	4.918088e+000	5.524901e-002
9.331504837205228e-001	4.905168e+000	6.746949e-002
9.331505201596667e-001	4.885958e+000	8.643126e-002
9.331505529941188e-001	4.857637e+000	1.152458e-001
9.331505824869916e-001	4.814349e+000	1.599036e-001
9.331506113874364e-001	4.740587e+000	2.359901e-001
9.331506433179798e-001	4.605701e+000	3.742399e-001
9.331506774030497e-001	4.387558e+000	5.962462e-001
9.331507325314800e-001	3.932479e+000	1.057497e+000
9.331507834591067e-001	3.461688e+000	1.534051e+000
9.331508445043042e-001	2.873553e+000	2.129035e+000
9.331509362907301e-001	1.990890e+000	3.022334e+000
9.331511198635819e-001	2.487543e-001	4.788000e+000
9.331511211591592e-001	2.375522e-001	4.799541e+000
9.331511237503138e-001	2.176675e-001	4.820411e+000
9.331511289326231e-001	1.812022e-001	4.858448e+000
9.331511392972416e-001	1.187298e-001	4.921849e+000
9.331511463351199e-001	8.666376e-002	4.951642e+000
9.331511542808550e-001	6.161376e-002	4.971279e+000
9.331511573472191e-001	5.481507e-002	4.975778e+000
9.331511618900086e-001	4.771883e-002	4.979801e+000
9.331511670314150e-001	4.170991e-002	4.982936e+000
9.331511733806385e-001	3.636533e-002	4.985513e+000
9.331511795765605e-001	3.265868e-002	4.987197e+000
9.331511877266677e-001	2.925182e-002	4.988674e+000
9.331511970270459e-001	2.653814e-002	4.989812e+000
9.331512087899382e-001	2.419575e-002	4.990768e+000
9.331512228717961e-001	2.230739e-002	4.991525e+000
9.331512418761475e-001	2.062924e-002	4.992187e+000
9.331512653400129e-001	1.928549e-002	4.992711e+000
9.331512962709079e-001	1.816198e-002	4.993145e+000
9.331513349716049e-001	1.728284e-002	4.993484e+000
9.331513885751885e-001	1.653815e-002	4.993768e+000
9.331514572151823e-001	1.596683e-002	4.993986e+000
9.331515562608772e-001	1.549022e-002	4.994167e+000
9.331516861374526e-001	1.514060e-002	4.994300e+000
9.331518834247513e-001	1.486123e-002	4.994406e+000
9.331521486943972e-001	1.467684e-002	4.994476e+000
9.331525800271397e-001	1.455026e-002	4.994524e+000
9.331544823955122e-001	1.446365e-002	4.994556e+000
9.368403549196820e-001	1.395250e-002	4.994559e+000
9.405262274438518e-001	1.347626e-002	4.994560e+000
